"","game_id","team_1","team_2","win_1","win_2","total_active_stars","cum_final_score","total_views","CombinedRevenues","FBRatio","TwitterRatio","CombinedPPG"
"1",21600001,"CLE","NYK",0,0,4,205,57691,706,0.0971766250820748,0.085,215.4
"2",21600002,"POR","UTA",0,0,0,217,40740,444,0.0236375574523966,0.03,209.7
"3",21600003,"GSW","SAS",0,0,5,229,60428,618,0.119500984898227,0.148333333333333,216.2
"4",21600004,"MIA","ORL",0,0,0,204,22756,464,0.120814182534471,0.101666666666667,206.8
"5",21600005,"DAL","IND",0,0,1,251,33922,438,0.0512147078135259,0.0416666666666667,207.9
"6",21600006,"BOS","BKN",0,0,1,239,23947,530,0.077478660538411,0.0666666666666667,210.6
"7",21600007,"TOR","DET",0,0,2,200,14887,471,0.0269205515430072,0.0383333333333333,215.5
"8",21600008,"MIL","CHA",0,0,2,203,12046,381,0.0203545633617859,0.03,214.7
"9",21600009,"MIN","MEM",0,0,1,200,21853,410,0.0236375574523966,0.0283333333333333,208.8
"11",21600011,"PHI","OKC",0,0,1,200,42455,406,0.0571240971766251,0.0666666666666667,217.7
"12",21600012,"PHX","SAC",0,0,1,207,14435,458,0.0242941562705187,0.03,202.8
"13",21600013,"HOU","LAL",0,0,1,234,34087,667,0.166119500984898,0.163333333333333,220.5
"14",21600014,"ATL","WAS",0,0,2,213,27848,431,0.0203545633617859,0.0316666666666667,210
"15",21600015,"BOS","CHI",100,0,2,204,50539,538,0.179908076165463,0.12,206.9
"16",21600016,"SAC","SAS",100,100,2,196,27634,499,0.0590938936309915,0.07,201.6
"17",21600017,"LAC","POR",0,100,1,220,29674,480,0.041365725541694,0.04,214.6
"18",21600018,"CLE","TOR",100,100,5,185,48951,530,0.0715692711753119,0.0766666666666667,222.6
"19",21600019,"BKN","IND",0,100,1,197,23043,478,0.0400525279054498,0.0316666666666667,212.2
"20",21600020,"ORL","DET",0,0,0,190,10691,432,0.0302035456336179,0.0383333333333333,207.2
"21",21600021,"PHX","OKC",0,100,1,223,37236,440,0.0597504924491136,0.0566666666666667,211.8
"22",21600022,"MIA","CHA",100,100,1,188,12886,455,0.11424819435325,0.0916666666666667,211.6
"24",21600024,"LAL","UTA",100,0,0,185,25043,592,0.149047931713723,0.133333333333333,212.2
"25",21600025,"NOP","GSW",0,0,5,236,46471,563,0.082731451083388,0.106666666666667,225.2
"28",21600028,"NYK","MEM",0,100,2,215,32002,632,0.0518713066316481,0.0483333333333333,203.8
"29",21600029,"CLE","ORL",100,0,3,204,31859,491,0.0748522652659225,0.0766666666666667,214.3
"30",21600030,"CHI","IND",100,50,2,219,22190,486,0.142481943532502,0.085,208.5
"31",21600031,"MIL","BKN",0,50,1,218,21567,452,0.0275771503611293,0.0283333333333333,213.1
"32",21600032,"NOP","SAS",0,100,2,177,23391,463,0.0577806959947472,0.0683333333333333,214.4
"33",21600033,"DEN","POR",100,50,0,228,27076,425,0.0282337491792515,0.0316666666666667,215.6
"34",21600034,"MIN","SAC",0,50,1,209,22179,444,0.0236375574523966,0.0283333333333333,208.4
